Jurisdiction,Office,Candidate Name,Affiliation,Financial Agent Name,Source Page,Result,Elected,Result Source,Notes
100 Mile House,Councillor,Donna Barnett,,Donna Barnett,1,,,,
100 Mile House,Councillor,Erin Filtness,,Erin Filtness,1,,,,
100 Mile House,Councillor,Aaron Fulber,,Aaron Fulber,1,,,,
100 Mile House,Councillor,Ryan Hindmarsh,,Ryan Hindmarsh,1,,,,
100 Mile House,Councillor,Ralf Holzapfel,,Ralf Holzapfel,1,,,,
100 Mile House,Councillor,Dave Mingo,,Dave Mingo,1,,,,
100 Mile House,Councillor,Marty Norgren,,Marty Norgren,1,,,,
100 Mile House,Councillor,Norm Knutsen,,Norm Knutsen,1,,,,
100 Mile House,Councillor,Darren Wilkinson,,Darren Wilkinson,1,,,,
100 Mile House,Councillor,Dave Wishnowski,,Dave Wishnowski,1,,,,
100 Mile House,Mayor,David Jurek,,David Jurek,1,,,,
100 Mile House,Mayor,Maureen Pinkney,,Maureen Pinkney,1,,,,
Abbotsford,Councillor,Les Barkman,,Les Barkman,1,,,,
Abbotsford,Councillor,Matthew Cavacece,,Matthew Cavacece,1,,,,
Abbotsford,Councillor,Patricia Driessen,Abbotsford Voice,Aagje Cluff,1,,,,
Abbotsford,Councillor,Carmen Fast Hollett,Abbotsford Voice,Aagje Cluff,2,,,,
Abbotsford,Councillor,Simon Gibson,,Richard Gilbert,2,,,,
Abbotsford,Councillor,Rupi Kanda-Rajwan,,Jennifer Sunderland,2,,,,
Abbotsford,Councillor,Jeremy Klix,,Jeremy Klix,2,,,,
Abbotsford,Councillor,Joel Madsen,,Joel Madsen,2,,,,
Abbotsford,Councillor,Kristy Mills,Abbotsford Voice,Aagje Cluff,2,,,,
Abbotsford,Councillor,Amrik Narang,,Karamjit Toor,2,,,,
Abbotsford,Councillor,Jasmit Phulka,,Harjit Purewal,2,,,,
Abbotsford,Councillor,Preet S. Rai,,Preet S. Rai,2,,,,
Abbotsford,Councillor,Patricia Ross,,Christine Eden,2,,,,
Abbotsford,Councillor,Dave Sidhu,,Markus Delves,2,,,,
Abbotsford,Councillor,Jag Sidhu,,Jeeven Dhillon,2,,,,
Abbotsford,Councillor,Rick Thiessen,,Rick Thiessen,2,,,,
Abbotsford,Councillor,Dao Tran,,Dao Tran,2,,,,
Abbotsford,Councillor,Thomas Votik,,Thomas Votik,2,,,,
Abbotsford,Councillor,Mark Warkentin,,Mark Warkentin,2,,,,
Abbotsford,Councillor,Skully White,,Vincent Child,2,,,,
Abbotsford,Councillor,Shirley Wilson,,John Pankratz,2,,,,
Abbotsford,Councillor,Doris Woodman-McMillan,,Donald Fairholm,3,,,,
Abbotsford,Mayor,Sukhi Dhami,,Walter Williams,3,,,,
Abbotsford,Mayor,Paul Mahil,,Parminder Parmar,3,,,,
Abbotsford,Mayor,David Pellikaan,,David Pellikaan,3,,,,
Abbotsford,Mayor,Ross Siemens,,Marion Keys,3,,,,
Abbotsford School District,Board of Education Trustee,Peggy Antifaeff,,Peggy Antifaeff,3,,,,
Abbotsford School District,Board of Education Trustee,Rupinder Brar,,Jessica Raiwal,3,,,,
Abbotsford School District,Board of Education Trustee,Tanya Coghill,,Tanya Coghill,3,,,,
Abbotsford School District,Board of Education Trustee,Chad Cowie,,Chad Cowie,3,,,,
Abbotsford School District,Board of Education Trustee,Graeme Hutchison,,Graeme Hutchison,3,,,,
Abbotsford School District,Board of Education Trustee,Arsh Kaler,,Rajan Buttar,3,,,,
Abbotsford School District,Board of Education Trustee,Freddy Latham,,Freddy Latham,3,,,,
Abbotsford School District,Board of Education Trustee,Benjamin Mehrer,,Cindy Birch,3,,,,
Abbotsford School District,Board of Education Trustee,Amritpal Mund,Abbotsford Conservatives,Amritpal Mund,3,,,,
Abbotsford School District,Board of Education Trustee,Eric Nyvall,Abbotsford Conservatives,Eric Nyvall,3,,,,
Abbotsford School District,Board of Education Trustee,Tejvir Pandher,,Amanpreet Grewal,3,,,,
Abbotsford School District,Board of Education Trustee,Raj Patara,,Raj Patara,3,,,,
Abbotsford School District,Board of Education Trustee,Rhonda Pauls,,Christine Rempel,3,,,,
Abbotsford School District,Board of Education Trustee,Mike Rauch,,Winsome Rauch,4,,,,
Abbotsford School District,Board of Education Trustee,Shannon Rose,,Shannon Rose,4,,,,
Abbotsford School District,Board of Education Trustee,Rajwinder Sandhu,,Rajwinder Sandhu,4,,,,
Abbotsford School District,Board of Education Trustee,Amandeep Singh,,Amandeep Singh,4,,,,
Abbotsford School District,Board of Education Trustee,Earl Storey,Abbotsford Conservatives,Earl Storey,4,,,,
Abbotsford School District,Board of Education Trustee,Vinay Waraich,,Sahijdeep Waraich,4,,,,
Abbotsford School District,Board of Education Trustee,Pamela Yee,,Pamela Yee,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Alan Anderson,,Alan Anderson,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Angus Barter (Withdrawn),,Angus Barter,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Fred Boyko,,Fred Boyko,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Doug Fleming,,Doug Fleming,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Rob Frolic,,Rob Frolic,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Doug Herd,,Doug Herd,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Michael Lesosky,,Michael Lesosky,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Colin McLeman,,Colin McLeman,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Stefan Ochman,,Stefan Ochman,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Susan Roth,,Susan Roth,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Max Salamon,,Max Salamon,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Vaida Siga,,Vaida Siga,5,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Mike Sparrow,,Mike Sparrow,5,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Sabrina Zimmermann,,Tanya Dittkowski,5,,,,
Alert Bay,Councillor,Judy Cadrin,,Judy Cadrin,5,,,,
Alert Bay,Councillor,Casey Chapman,,Casey Chapman,5,,,,
Alert Bay,Councillor,Lisanne Granger,,Lisanne Granger,5,,,,
Alert Bay,Councillor,Sandy McGregor,,Sandy McGregor,5,,,,
Alert Bay,Councillor,Duncan Williams,,Duncan Williams,5,,,,
Alert Bay,Mayor,Emma Campbell,,Emma Campbell,5,,,,
Alert Bay,Mayor,Samuel Cook,,Samuel Cook,5,,,,
Alert Bay,Mayor,David Faren,,David Faren,5,,,,
Anmore,Councillor,Harriette Chang,,Sheryl Parton,5,,,,
Anmore,Councillor,Will Crocker,,Will Crocker,5,,,,
Anmore,Councillor,Nylah Froese,,Ryan Froese,5,,,,
Anmore,Councillor,Peter Ludeman (Withdrawn),,Peter Ludeman,5,,,,
Anmore,Councillor,Georgia Lyons,,Georgia Lyons,5,,,,
Anmore,Councillor,Neil Lyons,,Neil Lyons,5,,,,
Anmore,Councillor,Wade Parrish,,Wade Parrish,5,,,,
Anmore,Councillor,Rod Rempel,,Sheryl Parton,6,,,,
Anmore,Councillor,Carl Schmidt,,Carl Schmidt,6,,,,
Anmore,Councillor,Kim Trowbridge,,Kim Trowbridge,6,,,,
Anmore,Councillor,Paul Weverink,,Paul Weverink,6,,,,
Anmore,Mayor,John McEwen (Withdrawn),,John McEwen,6,,,,
Anmore,Mayor,Douglas Richardson,,Debra Beuk,6,,,,
Armstrong,Councillor,Michael Babott,,Crystal Workman,6,,,,
Armstrong,Councillor,Ray Baylis,,Melanie Baylis,6,,,,
Armstrong,Councillor,Bradly Bourgeois,,Bradly Bourgeois,6,,,,
Armstrong,Councillor,Dale Bradley,,Susan Bradley,6,,,,
Armstrong,Councillor,Paul Britton,,Paul Britton,6,,,,
Armstrong,Councillor,Mark Casson,,Mark Casson,6,,,,
Armstrong,Councillor,Steven Drapala,,Steven Drapala,6,,,,
Armstrong,Councillor,Shirley Fowler,,Shirley Fowler,6,,,,
Armstrong,Councillor,Kristy McLennan,,Kristy McLennan,6,,,,
Armstrong,Councillor,Kim Sinclair,,Kim Sinclair,6,,,,
Armstrong,Councillor,Neil Todd,,Neil Todd,6,,,,
Armstrong,Councillor,Jessie Valstar,,Jessie Valstar,6,,,,
Armstrong,Councillor,Mark Wehner,,Mark Wehner,7,,,,
Armstrong,Councillor,Andy Werner,,Andy Werner,7,,,,
Armstrong,Councillor,Lyle Williamson,,Lyle Williamson,7,,,,
Armstrong,Councillor,Stephen Zopf,,Stephen Zopf,7,,,,
Armstrong,Mayor,Garhen Avalokiteshvara,,Garhen Avalokiteshvara,7,,,,
Armstrong,Mayor,Joe Cramer,,Steve Hansma,7,,,,
Armstrong,Mayor,Chris Pieper,,Chris Pieper,7,,,,
Armstrong,Mayor,John Trainor,,John Trainor,7,,,,
Arrow Lakes School District,Board of Education Trustee,Quinn Decourcy,,Quinn Decourcy,7,,,,
Arrow Lakes School District,Board of Education Trustee,Rhonda Farrell,,Rhonda Farrell,7,,,,
Arrow Lakes School District,Board of Education Trustee,Steve Gascon,,Steve Gascon,7,,,,
Arrow Lakes School District,Board of Education Trustee,Amanda Murphy,,Amanda Murphy,7,,,,
Arrow Lakes School District,Board of Education Trustee,Becky Phillips,,Becky Phillips,7,,,,
Arrow Lakes School District,Board of Education Trustee,Danyea Simon,,Danyea Simon,7,,,,
Arrow Lakes School District,Board of Education Trustee,Frances Swan,,Frances Swan,7,,,,
Ashcroft,Councillor,Jonah Anstett,,Jonah Anstett,7,,,,
Ashcroft,Councillor,Jessica Clement,,Jessica Clement,7,,,,
Ashcroft,Councillor,Nadine Davenport,,Nadine Davenport,7,,,,
Ashcroft,Councillor,Darril Fosty,,Darril Fosty,8,,,,
Ashcroft,Councillor,Warren Wall,,Warren Wall,8,,,,
Ashcroft,Mayor,Erik Poole,,Erik Poole,8,,,,
Ashcroft,Mayor,Barbara Roden,,Barbara Roden,8,,,,
Barriere,Councillor,Judy Armstrong,,Judy Armstrong,8,,,,
Barriere,Councillor,Stephen Boylan,,Stephen Boylan,8,,,,
Barriere,Councillor,Joan Houston,,Joan Houston,8,,,,
Barriere,Councillor,Donna Kibble,,Donna Kibble,8,,,,
Barriere,Councillor,Louise Lodge,,Louise Lodge,8,,,,
Barriere,Councillor,Colin McInnis,,Colin McInnis,8,,,,
Barriere,Councillor,Brody Mosdell,,Brody Mosdell,8,,,,
Barriere,Mayor,Rob Kerslake,,Glenda Feller,8,,,,
Belcarra,Councillor,Peter Boekhout,,Peter Boekhout,8,,,,
Belcarra,Councillor,Carolina Clark,,Carolina Clark,8,,,,
Belcarra,Councillor,James Hancock,,Clive Evans,8,,,,
Belcarra,Councillor,Ross Saito,,Ross Saito,8,,,,
Belcarra,Councillor,Liisa Wilder,,Liisa Wilder,8,,,,
Belcarra,Mayor,Jamie Ross,,Sandra Rietchel,8,,,,
Boundary School District,Board of Education Trustee,Darla Ashton,,Darla Ashton,9,,,,
Boundary School District,Board of Education Trustee,Mark Danyluk,,Mark Danyluk,9,,,,
Boundary School District,Board of Education Trustee,Katie Jepsen,,Katie Jepsen,9,,,,
Boundary School District,Board of Education Trustee,Krissy Jorgenson,,Krissy Jorgenson,9,,,,
Boundary School District,Board of Education Trustee,Jaime Massey,,Jaime Massey,9,,,,
Boundary School District,Board of Education Trustee,Liddie Sorensen-Lawrence,,Liddie Sorensen-Lawrence,9,,,,
Boundary School District,Board of Education Trustee,Danielle Thielmann,,Danielle Thielmann,9,,,,
Boundary School District,Board of Education Trustee,Lauren Thomas,,Lauren Thomas,9,,,,
Boundary School District,Board of Education Trustee,James Wilson,,James Wilson,9,,,,
Boundary School District,Board of Education Trustee,Rose Zitko,,Rose Zitko,9,,,,
Bowen Island,Councillor,Constance Barnes,,Constance Barnes,9,,,,
Bowen Island,Councillor,Terry Cotter,,Terry Cotter,9,,,,
Bowen Island,Councillor,Keith Davidson,,Keith Davidson,9,,,,
Bowen Island,Councillor,Sue Ellen Fast,,Sue Ellen Fast,9,,,,
Bowen Island,Councillor,Judith Gedye,,Judith Gedye,9,,,,
Bowen Island,Councillor,Tim Hausch,,Crozier Lucas,9,,,,
Bowen Island,Councillor,Alex Jurgensen,,Alex Jurgensen,9,,,,
Bowen Island,Councillor,Alison Morse,,Alison Morse,9,,,,
Bowen Island,Councillor,Caroline Parker,,Caroline Parker,10,,,,
Bowen Island,Councillor,Patrick Reakes,,Patrick Reakes,10,,,,
Bowen Island,Mayor,Andrew Leonard,,Andrew Leonard,10,,,,
Bulkley Valley School District,Board of Education Trustee,Phil Brienesse,,Phil Brienesse,10,,,,
Bulkley Valley School District,Board of Education Trustee,Kellie-Lynn Dondale,,Kellie-Lynn Dondale,10,,,,
Bulkley Valley School District,Board of Education Trustee,Frank Farrell,,Frank Farrell,10,,,,
Bulkley Valley School District,Board of Education Trustee,Kristina Graham,,Kristina Graham,10,,,,
Bulkley Valley School District,Board of Education Trustee,Diane Mackay,,Diane Mackay,10,,,,
Bulkley Valley School District,Board of Education Trustee,Jessica Michell,,Lucille Glaim,10,,,,
Bulkley Valley School District,Board of Education Trustee,Priscilla Michell,,Priscilla Michell,10,,,,
Bulkley Valley School District,Board of Education Trustee,Sharon Redford,,Sharon Redford,10,,,,
Bulkley Valley School District,Board of Education Trustee,Rod Taylor,,Rod Taylor,10,,,,
Bulkley Valley School District,Board of Education Trustee,Casda Thomas,,Casda Thomas,10,,,,
Bulkley Valley School District,Board of Education Trustee,Kimberly Unger,,Kimberly Unger,10,,,,
Bulkley Valley School District,Board of Education Trustee,Jennifer Williams,,Jennifer Williams,10,,,,
Bulkley Valley School District,Board of Education Trustee,Matt Williamson,,Matt Williamson,10,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Judy Greenaway,,Judy Greenaway,10,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Colin Kerr,,Colin Kerr,10,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Clint Lambert,,Clint Lambert,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Shirley Moon,,Shirley Moon,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Chris Newell,,Chris Newell,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Mark Parker,,Mark Parker,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Michael Riis-Christianson,,Michael Riis-Christianson,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Mark Rogers,,Mark Rogers,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Stoney Stoltenberg,,Stoney Stoltenberg,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Riley Willick,,Riley Willick,11,,,,
Bulkley-Nechako Regional District,Electoral Area Director,Kyle Wilson,,Kyle Wilson,11,,,,
Bulkley-Nechako Regional District,Local Community Commissioner,Linda Cochran,,Linda Cochran,11,,,,
Bulkley-Nechako Regional District,Local Community Commissioner,Steve Cochran,,Steve Cochran,11,,,,
Bulkley-Nechako Regional District,Local Community Commissioner,Donald Webster,,Donald Webster,11,,,,
Bulkley-Nechako Regional District,Local Community Commissioner,Frederick Webster,,Frederick Webster,11,,,,
Burnaby,Councillor,Akmal Bazarov,,Akmal Bazarov,11,,,,
Burnaby,Councillor,Natalia Bember,,Natalia Bember,11,,,,
Burnaby,Councillor,Jessica Cai,Restore Burnaby,Hsiang-Chi Yeh,11,,,,
Burnaby,Councillor,Neil Chapman,Restore Burnaby,Hsiang-Chi Yeh,11,,,,
Burnaby,Councillor,Allen Chen,,Allen Chen,11,,,,
Burnaby,Councillor,Daniel Chen,Burnaby First,Jie Tu,12,,,,
Burnaby,Councillor,Daniel Cheung,Restore Burnaby,Hsiang-Chi Yeh,12,,,,
Burnaby,Councillor,Larry Chin,,Patricia Chong,12,,,,
Burnaby,Councillor,Avtar Dhinsa,NEW Burnaby,Anthony Lyons,12,,,,
Burnaby,Councillor,Rocky Dong,Restore Burnaby,Hsiang-Chi Yeh,12,,,,
Burnaby,Councillor,Ryan Erwin,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,12,,,,
Burnaby,Councillor,Tina Fiorda,Restore Burnaby,Hsiang-Chi Yeh,12,,,,
Burnaby,Councillor,Gulam Firdos,,Gulam Firdos,12,,,,
Burnaby,Councillor,Joel Gibbs,Burnaby Green Party,Carrie McLaren,12,,,,
Burnaby,Councillor,Garnet Heidt,,Garnet Heidt,12,,,,
Burnaby,Councillor,Darren Inouye,,Darren Inouye,12,,,,
Burnaby,Councillor,Joe Keithley,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,12,,,,
Burnaby,Councillor,Martin Kendell,Burnaby Green Party,Carrie McLaren,12,,,,
Burnaby,Councillor,Cindy Lee,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,12,,,,
Burnaby,Councillor,Lynette Hyerin Lee,,Lynette Hyerin Lee,12,,,,
Burnaby,Councillor,Richard T. Lee,NEW Burnaby,Anthony Lyons,12,,,,
Burnaby,Councillor,Jason Martin,,Jason Martin,12,,,,
Burnaby,Councillor,Mary B Villa y Battenberg,Burnaby First,Jie Tu,12,,,,
Burnaby,Councillor,Carrie McLaren,Burnaby Green Party,Carrie McLaren,13,,,,
Burnaby,Councillor,Nash Milani,,Nash Milani,13,,,,
Burnaby,Councillor,Ragina Naidu,Restore Burnaby,Hsiang-Chi Yeh,13,,,,
Burnaby,Councillor,Morgan NicholsFigueiredo,NEW Burnaby,Anthony Lyons,13,,,,
Burnaby,Councillor,Rea Park,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,13,,,,
Burnaby,Councillor,Janet Poon,Restore Burnaby,Hsiang-Chi Yeh,13,,,,
Burnaby,Councillor,Fiorella Ravelli,Burnaby First,Jie Tu,13,,,,
Burnaby,Councillor,Konstantine Roccas,,Konstantine Roccas,13,,,,
Burnaby,Councillor,Maita Santiago,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,13,,,,
Burnaby,Councillor,Tara Shushtarian,Burnaby Green Party,Carrie McLaren,13,,,,
Burnaby,Councillor,Kiran Singh,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,13,,,,
Burnaby,Councillor,Philip Stojanovski,,Philip Stojanovski,13,,,,
Burnaby,Councillor,Tom Tao,,Tom Tao,13,,,,
Burnaby,Councillor,Daniel Tetrault,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,13,,,,
Burnaby,Councillor,Vincent Tong,,Vincent Tong,13,,,,
Burnaby,Councillor,Neha Unadkat,NEW Burnaby,Anthony Lyons,13,,,,
Burnaby,Councillor,James Wang,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,13,,,,
Burnaby,Councillor,David Xie,NEW Burnaby,Anthony Lyons,14,,,,
Burnaby,Councillor,Sabrina Yang,NEW Burnaby,Anthony Lyons,14,,,,
Burnaby,Mayor,Sabina Hsu,,Sabina Hsu,14,,,,
Burnaby,Mayor,Mike Hurley,,Cindy Maltman,14,,,,
Burnaby,Mayor,Michael Angelo A_BC Robinhood,,Michael Angelo A_BC Robinhood,14,,,,
Burnaby,Mayor,Bill Petrovas,,Mike Vint,14,,,,
Burnaby,Mayor,Hanzhi Wang,,Hanzhi Wang,14,,,,
Burnaby,Mayor,Heymann Yip,Burnaby First,Jie Tu,14,,,,
Burnaby School District,Board of Education Trustee,Stephen Andrada,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,14,,,,
Burnaby School District,Board of Education Trustee,Hillary Bergshoeff,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,14,,,,
Burnaby School District,Board of Education Trustee,Bill Brassington,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,14,,,,
Burnaby School District,Board of Education Trustee,Jen Jang,Burnaby Green Party,Carrie McLaren,14,,,,
Burnaby School District,Board of Education Trustee,Paul Kwon,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,14,,,,
Burnaby School District,Board of Education Trustee,Jen Mezei,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,14,,,,
Burnaby School District,Board of Education Trustee,Jasmine Nicholsfigueiredo,Burnaby Green Party,Carrie McLaren,14,,,,
Burnaby School District,Board of Education Trustee,Diane Pearce,,Diane Pearce,14,,,,
Burnaby School District,Board of Education Trustee,Kristin Schnider,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,15,,,,
Burnaby School District,Board of Education Trustee,Benita Sun,Restore Burnaby,Hsiang-Chi Yeh,15,,,,
Burnaby School District,Board of Education Trustee,Daisy Wei,Restore Burnaby,Hsiang-Chi Yeh,15,,,,
Burnaby School District,Board of Education Trustee,John Wong,Restore Burnaby,Hsiang-Chi Yeh,15,,,,
Burnaby School District,Board of Education Trustee,Haini Xiao,NEW Burnaby,Anthony Lyons,15,,,,
Burnaby School District,Board of Education Trustee,Jenny Yamagata,,Jenny Yamagata,15,,,,
Burnaby School District,Board of Education Trustee,Angel Yeh,Restore Burnaby,Angel Yeh,15,,,,
Burnaby School District,Board of Education Trustee,Colin Zuo,BCA - Burnaby Citizens Association,Chi Fai (Chris) Wong,15,,,,
Burns Lake,Councillor,Kristy Bjarnason,,Kristy Bjarnason,15,,,,
Burns Lake,Councillor,Dolores Funk,,Dolores Funk,15,,,,
Burns Lake,Councillor,Darrell Hill,,Darrell Hill,15,,,,
Burns Lake,Councillor,Aman Soi,,Aman Soi,15,,,,
Burns Lake,Councillor,Tony Strimbold,,Tony Strimbold,15,,,,
Burns Lake,Mayor,Aron Derksen,,Aron Derksen,15,,,,
Burns Lake,Mayor,Laurel Derksen,,Laurel Derksen,15,,,,
Burns Lake,Mayor,Charlie Rensby,,Charlie Rensby,15,,,,
Burns Lake,Mayor,Karanjeet Singh,,Karanjeet Singh,15,,,,
Cache Creek,Councillor,Kelly Debert,,Kelly Debert,15,,,,
Cache Creek,Councillor,David Dubois,,David Dubois,16,,,,
Cache Creek,Councillor,Karla Hein,,Karla Hein,16,,,,
Cache Creek,Councillor,Sue Peters,,Sue Peters,16,,,,
Cache Creek,Councillor,Carmen Ranta,,Carmen Ranta,16,,,,
Cache Creek,Mayor,Wendy Coomber,,Wendy Coomber,16,,,,
Cache Creek,Mayor,Annette Pittman,,Annette Pittman,16,,,,
Cache Creek,Mayor,John Ranta,,John Ranta,16,,,,
Campbell River,Councillor,Douglas Chapman,,Douglas Chapman,16,,,,
Campbell River,Councillor,Brittany Colville,,Brittany Colville,16,,,,
Campbell River,Councillor,Shawn Decaire,,Mercedes Lewis,16,,,,
Campbell River,Councillor,Adam Howard,,Adam Howard,16,,,,
Campbell River,Councillor,Dale Hunt (Withdrawn),,Dale Hunt,16,,,,
Campbell River,Councillor,Don Kolonsky,,Don Kolonsky,16,,,,
Campbell River,Councillor,Ben Lanyon,,Ben Lanyon,16,,,,
Campbell River,Councillor,Candice Lowery,,Candice Lowery,16,,,,
Campbell River,Councillor,Claire Moglove,,Claire Moglove,16,,,,
Campbell River,Councillor,Laird Ruehlen,,Murray Ruehlen,16,,,,
Campbell River,Councillor,Joelle Samson,,Clark Goble,16,,,,
Campbell River,Councillor,Lucas Schuller,,Gwendolyn Donaldson,16,,,,
Campbell River,Councillor,Susan Sinnott,,Susan Sinnott,17,,,,
Campbell River,Councillor,Sean Smyth,,Sean Smyth,17,,,,
Campbell River,Councillor,Ferris Stirling,,Ferris Stirling,17,,,,
Campbell River,Mayor,Kermit Dahl,,Andrea Drake,17,,,,
Campbell River,Mayor,Andy Speck,,Sara Lopez,17,,,,
Campbell River School District,Board of Education Trustee,Shannon Briggs,,Shannon Briggs,17,,,,
Campbell River School District,Board of Education Trustee,Kat Eddy,,Kat Eddy,17,,,,
Campbell River School District,Board of Education Trustee,Craig Gillis,,Craig Gillis,17,,,,
Campbell River School District,Board of Education Trustee,Jan Gladish,,Jan Gladish,17,,,,
Campbell River School District,Board of Education Trustee,Daryl Hagen,,Daryl Hagen,17,,,,
Campbell River School District,Board of Education Trustee,Cristi May Sacht,,Cristi May Sacht,17,,,,
Campbell River School District,Board of Education Trustee,Joyce McMann,,Joyce McMann,17,,,,
Campbell River School District,Board of Education Trustee,Linda Spetch,,Gena Jinda,17,,,,
Campbell River School District,Board of Education Trustee,Christian Stapff,,Christian Stapff,17,,,,
Canal Flats,Councillor,Kevin Dixon,,Kevin Dixon,17,,,,
Canal Flats,Councillor,Tanner Gresiuk,,Tanner Gresiuk,17,,,,
Canal Flats,Councillor,David Kapsha,,David Kapsha,17,,,,
Canal Flats,Councillor,Anora Kobza,,Anora Kobza,17,,,,
Canal Flats,Councillor,Patricia Reed,,Patricia Reed,18,,,,
Canal Flats,Councillor,Denise Trepanier,,Denise Trepanier,18,,,,
Canal Flats,Councillor,Andrew Weitzel,,Andrew Weitzel,18,,,,
Canal Flats,Mayor,Mark Doherty,,Mark Doherty,18,,,,
Canal Flats,Mayor,Maddi Taylor,,Maddi Taylor,18,,,,
Capital Regional District,Electoral Area Director,Rob Fawcett,,Shirley Searle,18,,,,
Capital Regional District,Electoral Area Director,Jesse Jule,,Jesse Jule,18,,,,
Capital Regional District,Electoral Area Director,Jennifer Lannan,,Johnson Emekoba,18,,,,
Capital Regional District,Electoral Area Director,Brian Webster,,Brian Webster,18,,,,
Capital Regional District,Electoral Area Director,Al Wickheim,,Al Wickheim,18,,,,
Capital Regional District,Local Community Commissioner,Benjamin Corno,,Benjamin Corno,18,,,,
Capital Regional District,Local Community Commissioner,Myna Lee Johnstone,,Myna Lee Johnstone,18,,,,
Capital Regional District,Local Community Commissioner,Everest MacDonald,,Everest MacDonald,18,,,,
Capital Regional District,Local Community Commissioner,Jenny McClean,,Jenny McClean,18,,,,
Capital Regional District,Local Community Commissioner,Earl Rook,,Earl Rook,18,,,,
Capital Regional District,Local Community Commissioner,Pam Tarr,,Jonathan Cooksey,18,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Nikki Berreth,,Nikki Berreth,18,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Ella Brown,,Ella Brown,18,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Dolores Casellato,,Dolores Casellato,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Melissa Coates,,Melissa Coates,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Eric De Vries,,Eric De Vries,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Sheri Elgersma,,Sheri Elgersma,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Mary Forbes,,Mary Forbes,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Michael Franklin,,Michael Franklin,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Michael Henshaw,,Michael Henshaw,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Willow MacDonald,,Willow MacDonald,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Jenny Philbrick,,Jenny Philbrick,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Allan Saunders,,Allan Saunders,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Will Shepherd,,Will Shepherd,19,,,,
Cariboo Chilcotin School District,Board of Education Trustee,Laura Zimmerman,,Laura Zimmerman,19,,,,
Cariboo Regional District,Electoral Area Director,Nicole Audet,,Nicole Audet,19,,,,
Cariboo Regional District,Electoral Area Director,Barb Bachmeier,,Barb Bachmeier,19,,,,
Cariboo Regional District,Electoral Area Director,Denice Bardua,,Nadine Guthrie,19,,,,
Cariboo Regional District,Electoral Area Director,Bonnie-Jean Bathgate,,Bonnie-Jean Bathgate,19,,,,
Cariboo Regional District,Electoral Area Director,Clinton Cave,,Clinton Cave,19,,,,
Cariboo Regional District,Electoral Area Director,Eric De Vries,,Eric De Vries,19,,,,
